,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Allocation,Allocation,Allocation,Results,Results,nDCG
,0,1,0,1,0,1,none,In,Out,All
22,0.5,0.5363636363636364,0.5776003187521371,0.4582873588502321,0.6314119819081383,0.3685880180918617,0,"[('402', 8.708457180646876), ('30', 8.549664342056907), ('168', 7.228159587411108), ('397', 7.063371563707002), ('333', 6.485502419404459), ('415', 6.240786887570212), ('479', 6.061262544052409), ('805', 5.935278993610691), ('328', 5.7313306814273215), ('345', 5.675957174287251)]","[('402', 7.143692267451876), ('30', 5.6753922171967055), ('168', 5.230947772752261), ('479', 5.207092166941534), ('397', 4.786503328307816), ('333', 4.342058883863372), ('415', 3.8976144394189274), ('345', 3.1436922674518764), ('805', 3.0087255505300385), ('328', 2.564281106085594)]",0.9956297595432699
23,0.5,0.5304347826086957,0.5726373286220936,0.4988985961277599,0.5838261924754643,0.41617380752453575,0,"[('710', 7.9707709444244195), ('254', 5.884565007197953), ('716', 5.609570011467771), ('691', 5.29388750201546), ('572', 5.191770285100707), ('370', 4.961783977211964), ('373', 4.79813150231811), ('383', 4.7754954129177145), ('38', 4.682676270594645), ('713', 4.664887562993237)]","[('254', 6.86478240351993), ('710', 6.153188493729553), ('572', 5.531449070186597), ('716', 5.264299604840665), ('691', 4.81985516039622), ('370', 3.9309662715073315), ('373', 3.486521827062887), ('713', 3.309226847964375), ('383', 3.0420773826184426), ('38', 2.597632938173998)]",0.8126334126196624
24,0.4791666666666667,0.5333333333333333,0.5835511580451114,0.502982784600349,0.6003604532543879,0.39963954674561203,0,"[('910', 8.180311386227311), ('384', 6.534497301462643), ('881', 6.267964780684645), ('152', 5.9803534251229395), ('561', 5.633568088662674), ('570', 5.505819190709707), ('714', 5.232112039686636), ('448', 5.207885946224967), ('924', 4.931222064051481), ('464', 4.813842961729307)]","[('384', 6.889890147928855), ('910', 5.666666666666667), ('152', 5.443443185404478), ('881', 4.777777777777778), ('464', 4.444444444444445), ('448', 4.223223481262188), ('714', 4.110109852071145), ('561', 3.888888888888889), ('570', 3.4444444444444446), ('924', 2.111111111111111)]",0.8438825229195479
25,0.5199999999999999,0.536,0.5797805900742108,0.46883749334644476,0.6127030307210788,0.3872969692789213,0,"[('949', 8.274236175481676), ('158', 7.3775666424206), ('731', 7.172163577855634), ('855', 6.81833976634932), ('259', 6.7542881385545925), ('519', 6.36681420148595), ('478', 6.226904968443882), ('300', 5.882341481453019), ('640', 5.7744973353451154), ('925', 5.534792050185299)]","[('731', 6.364188551375681), ('949', 6.177252525600899), ('855', 5.919744106931236), ('158', 5.732808081156454), ('259', 4.399474747823121), ('519', 3.9550303033786767), ('478', 3.5105858589342325), ('925', 3.2530774402645695), ('300', 3.066141414489788), ('640', 2.6216969700453436)]",0.8994377704780545
26,0.5,0.5384615384615384,0.5701760052559126,0.46092548497210045,0.6237416172273899,0.3762583827726102,0,"[('989', 9.801026844373585), ('241', 9.50785460658344), ('721', 7.895701344379074), ('193', 7.108322771962483), ('632', 6.767392112011811), ('887', 6.42342140529764), ('157', 5.8109905275902785), ('515', 5.705789088520042), ('377', 5.6122452760586), ('946', 5.39182245544408)]","[('887', 6.117706004785386), ('721', 5.718423734709303), ('989', 5.56215044922983), ('632', 5.516988274861469), ('241', 5.1177060047853855), ('946', 4.339928227007609), ('193', 4.228817115896497), ('515', 3.496201512487081), ('157', 2.8954837825631636), ('377', 2.006594893674275)]",0.6713900221314107
27,0.537037037037037,0.5481481481481482,0.5786144803114942,0.46911074250056334,0.6091850245962257,0.39081497540377425,0,"[('305', 6.462362395528952), ('177', 5.90043725562305), ('379', 5.746193573939709), ('881', 5.416903913284686), ('190', 5.177032352518961), ('809', 5.171317881238349), ('979', 5.1196972987186555), ('389', 5.111860291071538), ('612', 4.93297652512007), ('634', 4.730627586945887)]","[('177', 7.083620908488467), ('305', 5.8358847290545075), ('612', 5.058106951276729), ('379', 4.946995840165618), ('881', 4.502551395721174), ('190', 4.05810695127673), ('389', 3.810370771842769), ('809', 3.6136625068322847), ('979', 3.1692180623878405), ('634', 2.9214818829538802)]",0.9437353252285863
28,0.5535714285714285,0.55,0.5684732791155478,0.4686156647365546,0.593481002249411,0.406518997750589,0,"[('256', 8.52325266760433), ('574', 7.991727188167568), ('827', 6.291040835096971), ('732', 5.639710291457239), ('348', 5.628757914010005), ('697', 5.159571856250386), ('423', 5.13031739150592), ('670', 4.882690382738811), ('65', 4.862391367146181), ('431', 4.69931494789535)]","[('574', 6.681153328334642), ('827', 6.236708883890198), ('256', 5.996378334583006), ('732', 4.663045001249673), ('348', 4.218600556805228), ('670', 4.014486661667975), ('697', 3.774156112360784), ('431', 3.644936674164703), ('423', 3.3297116679163397), ('65', 2.4408227790274504)]",0.8773545061622989
29,0.5517241379310345,0.5517241379310345,0.5784151073556459,0.451081945857826,0.6218212106363976,0.37817878936360233,0,"[('240', 6.771685571834388), ('636', 6.259402803930648), ('432', 5.609783567347676), ('544', 5.558052261805649), ('996', 5.109204551766104), ('664', 4.656088904136028), ('578', 4.592757740886371), ('878', 4.364716168947947), ('3', 4.309045013391694), ('9', 4.045303691803675)]","[('636', 6.580803874116114), ('240', 5.974751681439441), ('544', 5.691914985227226), ('996', 5.247470540782781), ('432', 5.085862792550552), ('578', 4.358581651893892), ('878', 3.9141372074494476), ('664', 3.752529459217219), ('3', 2.4191961258838854), ('9', 1.974751681439441)]",0.947399974618554
30,0.5333333333333333,0.5666666666666667,0.5768810721954626,0.4766085595598921,0.6120622694471767,0.3879377305528232,0,"[('3', 12.089848135399466), ('7', 11.001883974082737), ('934', 10.716689933973772), ('991', 9.310020913234), ('326', 8.944663230249805), ('986', 8.544139678396494), ('811', 8.22931027907482), ('827', 7.807582272533557), ('760', 7.391244776849039), ('624', 6.99754524466069)]","[('7', 6.809878920519378), ('3', 6.176718557872648), ('934', 5.2878296689837585), ('986', 5.032101142741601), ('991', 4.843385224539314), ('326', 4.398940780094869), ('827', 4.143212253852711), ('811', 3.510051891205981), ('760', 2.6211630023170915), ('624', 2.1767185578726473)]",0.8817590247806368
31,0.5161290322580645,0.567741935483871,0.579671243243694,0.46339754671375083,0.6365791192268031,0.3634208807731969,0,"[('351', 10.601271871047164), ('893', 9.724708014768622), ('334', 8.269327990332132), ('588', 7.6884275939918005), ('399', 7.625050146328199), ('704', 7.495754153707007), ('117', 7.177872300862556), ('905', 6.776780204864833), ('792', 6.514001164669974), ('756', 6.50467545104126)]","[('893', 7.647003353622563), ('351', 6.323172466881443), ('334', 5.434283577992555), ('588', 4.98983913354811), ('399', 4.545394689103666), ('704', 4.100950244659221), ('117', 3.656505800214777), ('905', 3.2120613557703326), ('792', 2.767616911325888), ('756', 2.3231724668814437)]",0.8997129880158414
